Index,संस्कृतम्,हिन्दी अर्ध,English Meaning,word,sandhied_word,kaaraka_sambandha,hindi_meaning
,कः,कौन,who,इच्छामि,इच्छामि,"अभिहित_कर्ता,3.1;सकर्मक",इच्छा_करता_हूँ
,,,,अहम्,अहं,"कर्ता,2.1",मैं
,,,,श्रोतुम्,श्रोतुं,"कर्म,2.1",सुनने~की
,युक्तः,सम्पन्न,associated,.,.,-,-
,,,,परम्,परं,"विशेषणम्,2.1",पर
,,,,कौतूहलम्,कौतूहलं,"कर्ता,5.1",जिज्ञासा
,सर्व-भूतेषु,सभी प्राणियों में,among all the living beings,हि,हि,"कारण_द्योतकः,5.1",हि
,,,,मे,मे,"प्रयोजनम्,5.1",मेरे_लिये
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,2.1",है
,,,,.,.,-,-
,कः,कौन,who,महर्षे,महर्षे,"सम्बोध्यः,4.1",महर्षि
,,,,त्वम्,त्वं,"कर्ता,4.1",तुम
,,,,समर्थः,समर्थः,"विधेय_विशेषणम्,2.1",समर्थ
,हितः,हित करने वाला,one who does good,असि,असि,"अभिहित_कर्ता,2.1;सकर्मक",हो
,,,,ज्ञातुम्,ज्ञातुम्,"प्रयोजनम्,3.1",जानने~के_लिये
,,,,एवम्-,एवं-विधं,"षष्ठी-बहुव्रीहिः,6.2",एवं-
4.2.A,विद्वान्,शास्त्रों का ज्ञाता,man of sastric knowledge,विधम्,--,"विशेषणम्,7.1",प्रकार
,,,,नरम्,नरम्,"कर्म,5.1",मनुष्य_को
,,,,.,.,-,-
,कः,कौन,who,श्रुत्वा,श्रुत्वा,"पूर्वकालः,14.1",सुन_कर
,,,,च,च,"सम्बन्धः,1.1",च1
,,,,एतत्,एतत्,"विशेषणम्,7.1",यह
,कः,कौन,who,त्रि-,त्रि-लोकज्ञः,"द्विगुः,4.2",त्रि-
,,,,लोक,--,"उपपद-तत्पुरुषः,4.3",लोक-
,,,,ज्ञः,--,"विशेषणम्,6.1",लोकज्ञ
,समर्थः,समर्थ,"capable,skilful",वाल्मीकेः,वाल्मीकेः,"षष्ठीसम्बन्धः,7.1",वाल्मीकि_का
,,,,नारदः,नारदः,"कर्ता,14.1;कर्ता,11.1;कर्ता,1.1",नारद_ने
,,,,वचः,वचः,"कर्म,1.1",वचन
,च,भी,too,श्रूयताम्,श्रूयताम्,"वाक्यकर्म,11.1",सुने
,,,,इति,इति,"वाक्यकर्म_द्योतकः,8.1",ऐसा
,,,,च,च,"सम्बन्धः,9.1",च1
,कः,कौन,who,आमन्त्र्य,आमन्त्र्य,"पूर्वकालः,14.1",आमन्त्रित_करके
,,,,प्रहृष्टः,प्रहृष्टः,"विशेषणम्,6.1",प्रसन्न
,,,,वाक्यम्,वाक्यम्,"कर्म,14.1",वाक्य_को
,च,भी,too,अब्रवीत्,अब्रवीत्,"अभिहित_कर्ता,6.1;सकर्मक",कहा
,,,,.,.,-,-
,,,,बहवः,बहवः,"समुच्चितः,2.1",बहुत
,एक-प्रिय-दर्शनः,सभी का हमेशा प्रिय,one who is dear to all,दुर्लभाः,दुर्लभाः,,दुर्लभ
,,,,च,च,"समुच्चय_द्योतकः,2.1",च2
,,,,एव,एव,"सम्बन्धः,3.1",ही
,,,,.,.,-,-
,,,,त्वया,--,"कर्ता,3.1",तुमसे
,3,3,3,कीर्तिताः,--,-,प्रसद्धि_किया_हुआ
,,,,गुणाः,--,"कर्म,3.1",गुण
,,,,.,-,-,-
5.1.A,आत्मवान्,स्वाधीन अन्त:करण वाला,subduer of self,मुने,मुने,"सम्बोध्यः,2.1",मुनि
,,,,वक्ष्यामि,वक्ष्यामि,"अभिहित_कर्ता,3.1;सकर्मक",बोलूँगा
,,,,अहम्,अहं,"कर्ता,2.1;कर्ता,4.1",मैं
,कः,कौन,who,बुद्ध्वा,--,"पूर्वकालः,2.1",जान_कर
,,,,तैः,--,"सहार्थः,6.1",उनसे
,,,,युक्तः,--,"विधेय_विशेषणम्,8.1",युक्त
,जित-क्रोधः,क्रोध को वश में रखनेवाला,conquerer of anger,नरः,--,"सम्बोध्यः,6.1",मनुष्य
,,,,(कः),--,"कर्ता,9.1",कौन
,,,,(अस्ति),--,"वाक्यकर्म,2.1",है
,,,,(इति),--,"वाक्यकर्म_द्योतकः,9.1",ऐसा
,द्युतिमान्,कान्तियुक्त,radiant,.,-,-,-
,,,,(भवान्),(भवान्),"कर्म,2.1",आप
,,,,श्रूयतां,श्रूयतां,"अभिहित_कर्म,1.1;सकर्मक",सुने
,कः,कौन,who,.,.,-,-
,,,,इक्ष्वाकु-,इक्ष्वाकु-वंश-प्रभवः,"षष्ठी_तत्पुरुषः,1.2",इक्ष्वाकु-
,,,,वंश-,--,"षष्ठी-बहुव्रीहिः,1.3",वंश-
,अनसूयकः,असूया से रहित,free from jealousy,प्रभवः,--,"कर्म,5.1",मूल
,,,,रामः,रामः,"सञ्ज्ञा,1.3",राम
,,,,नाम,नाम,"सञ्ज्ञा_द्योतकः,2.1",नाम_1
5.2.A,कस्य,किससे,from whom,जनैः,जनैः,"कर्ता,5.1",जनों_के_द्वारा
,,,,श्रुतः,श्रुतः,,सुना_हुआ
,,,,.,.,-,-
,बिभ्यति,भयभीत होते हैं,do fear,(सः),(सः),"कर्ता,5.1",वह
,,,,नियत-,नियत-आत्मा,"षष्ठी-बहुव्रीहिः,2.2",
,,,,आत्मा,--,"समुच्चितः,3.2",आत्मा
,देवाः,देवता,the gods,महा-,महा-वीर्यः,"षष्ठी-बहुव्रीहिः,3.2",महा-
,,,,वीर्यः,--,"विधेय_विशेषणम्,1.1",वीर्य
,,,,(च),(च),"समुच्चय_द्योतकः,3.2",और
,च,भी,too,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,,,,(सः),(सः),"कर्ता,6.1",वह
,जात-रोषस्य,क्रुद्ध होने (पर),when wrath is provoked,द्युतिमान्,द्युतिमान्,"समुच्चितः,4.1",द्युति_वाला
,,,,धृतिमान्,धृतिमान्,"समुच्चितः,4.1",धृति_वाला
,,,,वशी,वशी,"विधेय_विशेषणम्,1.1",जिसने_वश_कर_लिया_है_वह
,,,,(च),(च),"समुच्चय_द्योतकः,4.1",च2
,सम्-युगे,युद्ध में,in the battle,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,,,,(सः),(सः),"कर्ता,5.1",वह
,,,,बुद्धिमान्,बुद्धिमान्,"समुच्चितः,3.1",बुद्धि_वाला
,4,4,4,नीतिमान्,नीतिमान्,"विधेय_विशेषणम्,1.1",नीति_वाला
,,,,(च),(च),"समुच्चय_द्योतकः,3.1",च2
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
6.1.A,एतद्,इसे,एतद्,.,.,-,-
,,,,(सः),(सः),"कर्ता,5.1",वह
,,,,वाग्ग्मी,वाग्ग्मी,"समुच्चितः,3.1",वाग्ग्मिन्
,इच्छामि,चाहता हूँ,(I)desire,श्रीमान्,श्रीमान्,"विधेय_विशेषणम्,1.1",श्री_वाला
,,,,(च),(च),"समुच्चय_द्योतकः,3.1",च2
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,2.1",है
,अहम्,मैं,I,.,.,-,-
,,,,(सः),(सः),"कर्ता,5.1",वह
,,,,शत्रु-,शत्रु-निबर्हणः,"उपपद-तत्पुरुषः,2.2",शत्रु-
,श्रोतुम्,सुनना,to hear,निबर्हणः,--,"समुच्चितः,3.2",संभालना
,,,,विपुल-,विपुल-अंशः,"षष्ठी-बहुव्रीहिः,3.2",विपुल-
,,,,अंशः,--,"विधेय_विशेषणम्,1.1",अंश
,परम्,उत्कट,great,(च),(च),"समुच्चय_द्योतकः,3.2",च2
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,कौतूहलम्,कौतुक,curiosity,(सः),(सः),"कर्ता,6.1",वह
,,,,महा-,महा-बाहुः,"षष्ठी-बहुव्रीहिः,2.2",महा-
,,,,बाहुः,--,"समुच्चितः,4.2",भुजा
,हि,चूँकि,because,कम्बु-,कम्बु-ग्रीवः,"षष्ठी-बहुव्रीहिः,3.2",कम्बु-
,,,,ग्रीवः,--,"समुच्चितः,4.2",गर्दन
,,,,महा-,महा-हनुः,"षष्ठी-बहुव्रीहिः,4.2",महा-
,मे,मेरा,mine,हनुः,--,"विधेय_विशेषणम्,1.1",ठोडी
,,,,(च),(च),"समुच्चय_द्योतकः,4.2",च2
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,3.2",है
6.2.A,महर्षे,मुनिवर,O sage!,.,.,-,-
,,,,(सः),(सः),"कर्ता,5.1",वह
,,,,महा-,महा-उरस्कः,"षष्ठी-बहुव्रीहिः,2.2",महा-
,त्वम्,तुम (आप),you,उरस्कः,--,"समुच्चितः,3.2",उरस्क
,,,,महा-,महा-ईष्वासः,"षष्ठी-बहुव्रीहिः,3.2",महा-
,,,,ईष्वासः,--,"विधेय_विशेषणम्,1.1",ईष्वास
,समर्थः,समर्थ,"capable,skillful",(च),(च),"समुच्चय_द्योतकः,3.2",च2
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,असि,हो,(you)are,(सः),(सः),"कर्ता,5.1",वह
,,,,गूढ-,गूढ-जत्रुः,"षष्ठी-बहुव्रीहिः,2.2",
,,,,जत्रुः,--,"समुच्चितः,3.2",जत्रु
,ज्ञातुम्,जानने के लिए,to know,अरिन्-,अरिन्-दमः,"उपपद-तत्पुरुषः,3.2",अरिन्-
,,,,दमः,--,"विधेय_विशेषणम्,1.1",आत्मनियंत्रण
,,,,(च),(च),"समुच्चय_द्योतकः,3.2",और
,एवं-विधम्,उक्त गुणों से युक्त,having such good qualities,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,,,,(सः),(सः),"कर्ता,5.1",वह
,,,,आजानु-,आजानु-बाहुः,"षष्ठी-बहुव्रीहिः,2.2",आजानु-
,नरम्,मानव को,to man,बाहुः,--,"समुच्चितः,3.2",भुजा
,,,,सु-,सु-शिराः,"बहुव्रीहिः,3.2",सु-
,,,,शिराः,--,"विधेय_विशेषणम्,1.1",शिरस्
,5,5,5,(च),(च),"समुच्चय_द्योतकः,3.2",च2
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
7.1.A,श्रुत्वा,सुनकर,after hearing,(सः),(सः),"कर्ता,5.1",वह
,,,,सु-,सु-ललाटः,"बहुव्रीहिः,2.2",सु-
,,,,ललाटः,--,"समुच्चितः,3.2",ललाट
,च,भी,too,सु-,सु-विक्रमः,"बहुव्रीहिः,3.2",सु-
,,,,विक्रमः,--,"विधेय_विशेषणम्,1.1",विक्रम
,,,,(च),(च),"समुच्चय_द्योतकः,3.2",च2
,एतत्,इसे,which was told earlier,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,,,,(सः),(सः),"कर्ता,5.1",वह
,त्रिलोकज्ञः,तीना लोकों के ज्ञाता,knower of three worlds,समः,समः,"समुच्चितः,3.3",समान
,,,,सम-,सम-विभक्त-अङ्गः,"बहुपद-बहुव्रीहिः,3.2",सम-
,,,,विभक्त-,--,"बहुपद-बहुव्रीहिः,3.3",
,वाल्मीकेः,रामायण के लेखक वाल्मीकि से,"to Valmiki,the auther of Ramayana",अङ्गः,--,"विधेय_विशेषणम्,1.1",अङ्ग
,,,,(च),(च),"समुच्चय_द्योतकः,3.3",और
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,नारदः,देवर्षि नारद,divine sage Narada,.,.,-,-
,,,,(सः),(सः),"कर्ता,5.1",वह
,,,,स्निग्ध-,स्निग्ध-वर्णः,"षष्ठी-बहुव्रीहिः,2.2",
,वचः,पहले कही गयी वाणी को,speech,वर्णः,--,"समुच्चितः,3.1",वर्ण
,,,,प्रतापवान्,प्रतापवान्,"विधेय_विशेषणम्,1.1",प्रताप_वाला
,,,,(च),(च),"समुच्चय_द्योतकः,3.1",और
7.2.A,श्रूयताम्,सुनिए,please hear,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,,,,(सः),(सः),"कर्ता,6.1",वह
,इति,ऐसा,इति,पीन-,पीन-वक्षः,"षष्ठी-बहुव्रीहिः,2.2",पीन-
,,,,वक्षः,--,"समुच्चितः,4.3",छाती
,,,,विशाल-,विशाल-अक्षः,"षष्ठी-बहुव्रीहिः,3.2",विशाल-
,च,भी,too,अक्षः,--,"समुच्चितः,4.3",धुरा
,,,,लक्ष्मीवान्,लक्ष्मीवान्,"समुच्चितः,4.3",लक्ष्मीवान्-
,,,,शुभ-,शुभ-लक्षणः,"षष्ठी-बहुव्रीहिः,4.3",शुभ-
,आ-मन्त्र्य,आह्वान करके,by drawing attention,लक्षणः,--,"विधेय_विशेषणम्,1.1",लक्षण
,,,,(च),(च),"समुच्चय_द्योतकः,4.3",और
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,प्र-हृष्टः,प्रसन्न (होते हुए),being delighted,(सः),(सः),"कर्ता,5.1",वह
,,,,धर्मज्ञः,धर्मज्ञः,"समुच्चितः,3.2",धर्मज्ञ
,,,,सत्य-,सत्य-सन्धः,"षष्ठी-बहुव्रीहिः,3.2",सत्य-
,,,,सन्धः,--,"विधेय_विशेषणम्,1.1",मेल
,वाक्यम्,वचन,statement,(च),(च),"समुच्चय_द्योतकः,3.2",च2
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,अब्रवीत्,कहा,spoke out,(सः),(सः),"कर्ता,6.1",वह
,,,,प्रजानाम्,प्रजानां,"षष्ठीसम्बन्धः,4.1",प्रजा_के
,,,,च,च,"सम्बन्धः,2.1",च1
,6,6,6,हिते,हिते,"कर्म,5.1",हित
,,,,रतः,रतः,"विधेय_विशेषणम्,1.1",प्रसन्न
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1;सकर्मक",है
8.1.A,बहवः,बहवः,manifold,.,.,-,-
,,,,(सः),(सः),"कर्ता,5.1",वह
,,,,यशस्वी,यशस्वी,"विशेषणम्,1.1",प्रसिद्ध
,दुर्लभाः,दु:ख से प्राप्त करने योग्य,rare,ज्ञान-,ज्ञान-सम्पन्नः,"तृतीया-तत्पुरुषः,3.2",ज्ञान-
,,,,सम्पन्नः,--,"विधेय_विशेषणम्,1.1",सम्पन्न
,,,,(च),(च),"सम्बन्धः,3.2",च1
,च,भी,too,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,,,,(सः),(सः),"कर्ता,6.1",वह
,एव,एव,एव,शुचिः,शुचिः,"समुच्चितः,4.1",पवित्र
,,,,वश्यः,वश्यः,"समुच्चितः,4.1",नियन्त्रणीय
,,,,समाधिमान्,समाधिमान्,"विधेय_विशेषणम्,1.1",समाधि
,ये,ये,those,(च),(च),"समुच्चय_द्योतकः,4.1",च2
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,त्वया,आपके द्वारा,by you,(सः),(सः),"कर्ता,5.1",वह
,,,,प्रजा-,प्रजा-पति-समः,"षष्ठी-तत्पुरुषः,2.2",प्रजा-
,,,,पति-,--,"तृतीया-तत्पुरुषः,2.3",पति-
,कीर्तिताः,कीर्तिताः,that have been described,समः,--,"समुच्चितः,3.1",सम
,,,,श्रीमान्,श्रीमान्,"विधेय_विशेषणम्,1.1",श्री_मान्
,,,,(च),(च),"समुच्चय_द्योतकः,3.1",च2
,गुणाः,आदर्श गुण,virtues,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,,,,(सः),(सः),"कर्ता,5.1",वह
8.2.A,मुने,हे महर्षि वाल्मीकि,O sage Valmiki,धाता,धाता,"समुच्चितः,3.2",विधाता
,,,,रिपु-,रिपु-निषूदनः,"उपपद-तत्पुरुषः,3.2",रिपु-
,,,,निषूदनः,--,"विधेय_विशेषणम्,1.1",निषूदन
,वक्ष्यामि,कहूँगा,shall tell,(च),(च),"समुच्चय_द्योतकः,3.2",च2
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,अहम्,मैं,I,(सः),(सः),"कर्ता,7.1",वह
,,,,रक्षिता,रक्षिता,"समुच्चितः,5.1",चौकीदार
,,,,जीव-,जीव-लोकस्य,"षष्ठी-तत्पुरुषः,3.2",जीव-
,बुद्ध्वा,समझकर,having considered,लोकस्य,--,"षष्ठीसम्बन्धः,2.1",लोक_का
,,,,धर्मस्य,धर्मस्य,"षष्ठीसम्बन्धः,5.1",धर्म_का
,,,,परिरक्षिता,परिरक्षिता,"विधेय_विशेषणम्,1.1",
,तैः,उन (उक्त गुणों) से,with the said virtues,(च),(च),"समुच्चय_द्योतकः,5.1",च2
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,युक्तः,सम्पन्न,associated,(सः),(सः),"कर्ता,8.1",वह
,,,,रक्षिता,रक्षिता,"समुच्चितः,7.1",चौकीदार
,,,,स्वस्य,स्वस्य,"षष्ठीसम्बन्धः,4.1",अपना
,श्रूयताम्,सुनिए,please hear,धर्मस्य,धर्मस्य,"षष्ठीसम्बन्धः,2.1",धर्म_के
,,,,स्व-,स्व-जनस्य,"षष्ठी-तत्पुरुषः,5.2",अपना
,,,,जनस्य,जनस्य,"षष्ठीसम्बन्धः,7.1",लोग_के
,नरः,मानव,man,च,च,"समुच्चय_द्योतकः,7.1",च2
,,,,रक्षिता,रक्षिता,"विधेय_विशेषणम्,1.1",चौकीदार
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,2.1",है
,7,7,7,.,.,-,-
,,,,(सः),(सः),"कर्ता,6.1",वह
,,,,वेद-,वेद-वेदाङ्ग-तत्त्वज्ञः,"इतरेतर-द्वन्द्वः,2.3",वेद-
9.1.A,इक्ष्वाकुवंश-प्रभवः,इक्ष्वाकुवंश में उत्पन्न,born in Ikshvaku dynasty,वेद-,--,"षष्ठी-तत्पुरुषः,2.3",वेद-
,,,,अङ्ग-,--,"षष्ठी-तत्पुरुषः,2.4",अङ्ग-
,,,,तत्त्व-,--,"उपपद-तत्पुरुषः,2.5",दार्शन
,,,,ज्ञः,--,"विशेषणम्,1.1",ज्ञानी
,रामः-नाम,राम नाम से प्रसिद्ध,by the name 'Rama',धनुर्वेदे,धनुर्वेदे,"अधिकरणम्,5.1",धनुर्वेद_में
,,,,च,च,"सम्बन्धः,3.1",च1
,,,,निष्ठितः,निष्ठितः,"विधेय_विशेषणम्,1.1",नि_ष्था1या_हुआ
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,जनैः,साधारण जनों के द्वारा,by common men,.,.,-,-
,,,,(सः),(सः),"कर्ता,5.1",वह
,,,,सर्व-,सर्व-शास्त्र-अर्थ-तत्त्वज्ञः,"कर्मधारयः,2.2",सर्व-
,श्रुतः,विज्ञात,known,शास्त्र-,--,"षष्ठी-तत्पुरुषः,2.3",शास्त्र-
,,,,अर्थ-,--,"षष्ठी-तत्पुरुषः,2.4",अर्थ-
,,,,तत्त्व,--,"उपपद-तत्पुरुषः,2.5",तत्त्व-
9.2.A,नियतात्मा,स्वाधीन अन्त:करण वाला,self controlled,ज्ञः,--,"समुच्चितः,3.1",ज्ञानी
,,,,स्मृतिमान्,स्मृतिमान्,"विधेय_विशेषणम्,1.1",स्मृति_वाला
,,,,(च),(च),"समुच्चय_द्योतकः,3.1",च2
,महा-वीर्यः,अत्यधिक सामर्थ्यशाली,very powerful,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,,,,(सः),(सः),"कर्ता,5.1",वह
,,,,प्रतिभानवान्,प्रतिभानवान्,"समुच्चितः,3.3",प्रतिभा_वाला
,द्युतिमान्,कान्तियुक्त,radiant,सर्व-,सर्व-लोक-प्रियः,"कर्मधारयः,3.2",सर्व-
,,,,लोक-,--,"षष्ठी-बहुव्रीहिः,3.3",लोक-
,,,,प्रियः,--,"विधेय_विशेषणम्,1.1",प्रिय
,धृतिमान्,धैर्यशाली,resolute,(च),(च),"समुच्चय_द्योतकः,3.3",च2
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,वशी,जितेन्द्रिय,one who has conquired over sense organs,(सः),(सः),"कर्ता,6.1",वह
,,,,साधुः,साधुः,"समुच्चितः,4.1",साधु
,,,,अ-,अ-दीन-आत्मा,"नञ्-तत्पुरुषः,3.2",अ-
,8,8,8,दीन-,-,"षष्ठी-बहुव्रीहिः,3.3",दीन-
,,,,आत्मा,--,"समुच्चितः,4.1",आत्मा
,,,,विचक्षणः,विचक्षणः,"विधेय_विशेषणम्,1.1",स्पष्टदर्शी
